Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
24,He has been the architect of many New Labour policies of privatisation and PFI; he has resisted all the arguments for restoration of the state pension link with earnings; and he has willingly found the money for Blair''s wars.,d,0,0,0,1
25,"Restaurateur Harvey Ortner, a partner in the Clock Broilers in Temple City, Pasadena, Van Nuys and Alhambra, purchased the property in 1950 and worked with Downey-based architect Paul B.",m,0,1,0,0
26,"""This was not long after the 220R, 420R, and Netra[tm] T1 model 105 line of boxes became widespread,"" recalls Matt Clark, at-the-time technical architect at Sportal.",d,0,0,0,1
27,"Among the scholars who identify Torriti with both a friar, an architect and a mosaicist: Francesco Gandolfo, ''Assisi e il Laterano'', Archivio della Societá Romana di Storia Patria , 106 (1983), 63-113, esp. p. 68; Maria Grazia Ciardi Duprè Dal Poggetto, ''La committenza e il mecenatismo artistico di Niccoló IV'', in Nicoló IV: un pontificato tra Oriente e Occidente.",u,0,0,1,0
28,"It was at this point that the project was handed to the young architect Antoni Gaudi , then only 31 years of age.",m,0,1,0,0
29,"Yet Thames Reach Airport Consortium (TRAC), developed by Clerkenwell-based architect Bluebase, has received little attention despite its many, seemingly obvious, benefits.",u,0,0,1,0
30,"The recording of the fabric and roof space by Fred Geddes, the architect to the project, began in 1994 and has continued throughout the repair and refurbishment of the church into 1998.",m,0,1,0,0
31,"Is it, with a concept from Bill Gates'' ""The Road Ahead"", a phase of ""frictionless capitalism"", or are we foreseeing a global collapse such as claimed by the French architect Paul Virilio?",m,0,1,0,0
32,"Says architect, Peter Holden of Acanthus Holden Architects based in Pembroke: ""The original roofing was in very poor condition with tiles lifting in the wind and blowing off, nails corroded away, water coming in, and lead work at the end of its life.",m,0,1,0,0
33,"The Raw Story | House Judiciary Democrats issue report alleging gross ... House Judiciary Democrats issue report alleging gross misconduct by ... the potential violations of federal criminal law detailed in this ... ordering the National Security Agency to engage in domestic spying ... rawstory.com United States Senate, Committee on the Judiciary The federal Judiciary , the Judicial Conference of the United States, and the ... services, sentencing, space and security , and judicial salaries and ... judiciary.senate.gov GAO: B-306284, Architect of the Capitol--Payment for Electrical and ... B-306284, Architect of the Capitol--Payment for Electrical and Security Improvements at the Thurgood Marshall Federal Judiciary Building, January 5, 2006 Decision Matter of: Architect of the Capitol ...",d,0,0,0,1
