Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
74,"Most interesting of what I was shown by the organ builder concerned were the pipes of the Pedal Bourdon, which were of open wood, tapering outward - in fact, a Portunal.",u,0,0,1,0
75,""" ""Regularisation Certificates"" ""Roofspace Conversions"" ""The Party Wall etc Act 1996"" ""Choosing Your Builder"" ""Smoke Detectors in Dwellings"" ""Information to be shown on drawings"" ""Domestic Heating Appliances ""Home Owners Checklist"" ""What can be done to improve security?",u,0,0,1,0
76,"Moreover the warranty is provided to your builder, not to you as a homeowner, and exempt from the Association of British Insurers Code of Practice.",u,0,0,1,0
77,"Barratt wants two quarter point rate cuts LONDON: Britain''s largest house builder, Barratt Developments has announced that its profits for the year will not take a hit despite a sales trough of more than £100 million to date.",u,0,0,1,0
78,Your builder includes the Buildmark warranty and insurance cover when selling newly-built or newly-converted residential homes to homebuyers because the cost is included in the purchase price of the new home.,u,0,0,1,0
79,"Features - Includes expert building tips and techniques. - Complete practical guide to modifying the 998cc A-Series engine (& 948cc A-Series engines bored out to 998cc) for high-performance with reliability, but without wasting money on parts or modifications that don''t work. - The A-Series engine is used in many Austin/Morris/Rover models including Mini, Metro, Morris Minor/1000, etc. - Explains how many original components - sometimes modified - can be used in high-performance applications. - Des Hammill is an engineer and a professional race engine builder.",m,0,1,0,0
80,"Samuel Ferks, Dudley, Worcestershire, builder.",m,0,1,0,0
81,Later he joined a medium size builder.,m,0,1,0,0
82,"Builder provides access to named components, the keyboard processor, the window and aspect models of a running application.",d,0,0,0,1
83,"If a roof tile fell on your head, you''d mutter ""this is catastrophic"" and the court might say to a client that engaged the builder that engaged the roofer ""you are a criminal"".",u,0,0,1,0
84,We have been told get the sills done first by a builder then a window company can do the windows.,u,0,0,1,0
85,"Marsh was noted for several things, one being the exercising of GNR influence when he arrived at Brighton and another being the builder of many disappointing engines.",u,0,0,1,0
86,"Its builder, Sir John Denham, rumoured to have murdered his young wife, sold it in 1667 to the First Earl of Burlington, brother of the scientist Robert Boyle.",m,0,1,0,0
87,A builder?,u,0,0,1,0
88,For those looking for new boats we have sites covering one boat builder and three boat fitters.,u,0,0,1,0
89,"Van Oeckelen was a fine builder who knew how to make a fine principal-chorus, and when it came to re-builds or enlargements, they and others, would probably not have made too many changes if the sound was good.....and it would have been at Zwolle.",u,0,0,1,0
90,"Sir Steele, a former L.P. also a builder built Cambusnethan Street and it is known that he was associated with the place of this name in Lanarkshire.",m,0,1,0,0
91,", Oxford. 01865 749660 Shower soap fittings: B&Q £10.95 01865 749339. 1, The John Allen Centre, Between Towns Road, Cowley, Oxford Wicker baskets, towels, loobrush –– Matalan, The John Allen Centre, (between towns road) Cowley, Oxford. 01865 336100 Tiles: Minoli & Co, Transport Way, Watlington Road, Cowley, Oxford Window design: Brume 01364 73090 Beauty products: Aveda: 02073311433 Nick Woodwards Interiors Ltd: 01869 325631 Nick Woodwards'' top tips: When employing a builder/decorator don''t be afraid to ask to see examples of their previous work or ask for references.",u,0,0,1,0
