Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
94,"; leaflets; postcards; and geological excursion guides ( 1934-1990 ) Images from this collection: The oldest preserved membership application by a woman, to join the Edinburgh Geological Society ( 1955 ) Index Subjects Brachiopoda, Fossil Crystallography Earth, Origin Empirical Science Fossils Geologists Geology Geology, Stratigraphic Geology, Stratigraphic Carboniferous Geology, Stratigraphic Permian Glacial Theory Mineralogy Old Red Sandstone Palaeontology Polarizing microscopes Post Glacial Theory Rocks, Igneous Societies, Geological Specimens Thin sections (Geology) People Bryson | Alexander | fl1840 | geologist Geikie | Sir | Archibald | 1835-1924 | professor of geology, University of Edinburgh Geikie | James | 1839-1915 | professor of geology, University of Edinburgh Lyell | Sir | Charles | 1797-1875 | geologist Murchison | Sir | Roderick Impey | 1792-1871| baronet | professor of geology, University of Edinburgh Peach | Benjamin Neeve | 1842-1926 | geologist Rose | Alexander | 1781-1860 | geologist Sanderson | George | fl1826-1847 | optical lapidarist Sorby | Henry Clifton | 1826-1908 | geologist Businesses and Organisations Geological Survey of Great Britain | 1835-: | government research institution Geological Society of Glasgow | 1858-",m,0,1,0,0
95,"Many are killed by paramilitary death squads in collusion with government intelligence personnel as recent reports of a 1992 massacre of nine students and a professor in Peru have revealed (Reyes, 1998).",u,0,0,1,0
96,At this time he became Fielden professor.,m,0,1,0,0
97,"On the other hand, Stevan Harnad, professor at the University of Southampton and a strong supporter of open access, commended Reed Elsevier for its change, saying that ""the full benefits of open access require not one bit more [from Reed Elsevier].",m,0,1,0,0
98,Both have hired one additional professor of French recently.,u,0,0,1,0
99,"The findings, by Peter Hepper, a professor at Belfast University''s foetal behaviour research unit, appear to back the view that there is no safe level of alcohol consumption during pregnancy.",m,0,1,0,0
100,"That is not meant to sound bad, but the film has nothing new in terms of narrative - an unruly pupil warrants close contact to his professor who is having a very bad weekend in a very bad life - it is slow in movement with no slap dash editing and no computer generated images in sight.",u,0,0,1,0
101,"Professor of Music, Oxford University, 1947-71 and editor of Music and Letters from 1959.",u,0,0,1,0
102,"He then was general prefect at the college for three years, after which he taught humanities until he was appointed professor of philosophy a post he occupied for five years.",m,0,1,0,0
103,"""Culturally based beliefs about health and appropriate strategies for maintaining health may provide better explanations for ethnic difference in home remedy use,"" said Grzywacz, assistant professor of family and community medicine.",u,0,0,1,0
104,"However, Dr Mark Griffiths, professor of gambling studies at Nottingham Trent University, also warned that, in spite of the positive aspect of playing video games, excessive use could lead to addictive behaviour and he also condemned the violence contained in some games.",m,0,1,0,0
105,"James Alcock is professor of psychology at York University, Toronto.",m,0,1,0,0
106,"On the 150th anniversary of Freud''s birthday, here is the case for the defence Robert Maxwell Young Robert Maxwell Young was professor of psychoanalytic studies at Sheffield and is a psychotherapist in London.",m,0,1,0,0
107,"He shared the same professor for piano tuition as Gerald Bright, later to achieve fame in Britain as the band-leader Geraldo.",u,0,0,1,0
108,"Nevertheless, most readers will find much of value in the book.) Go to part 1 of ""How Technology Co-opted the Good"" Goto table of contents *** Who Said That ? The author of this week''s comment (see the beginning of the newsletter) is Langdon Winner, professor of political science in the Department of Science and Technology Studies at Rensselaer Polytechnic Institute.",m,0,1,0,0
109,"RB: Not only do you have David Irving as–I don''t want to say adversary, uh, demon–but you have been attacked by Ward Churchill [the controversial ethnic studies professor at the University of Colorado at Boulder].",u,0,0,1,0
110,PROFESSOR MACDONALD said of the short-listed books Edith Hall and Fiona Macintosh.,u,0,0,1,0
111,Williams is a professor of economics at George Mason University and a syndicated columnist.,u,0,0,1,0
112,Dr. Alice Honig Dr. Honig is a professor emerita of child development at Syracuse University.,f,1,0,0,0
113,""" In their book, IQ & the Wealth of Nations , Richard Lynn, emeritus professor of psychology in University of Ulster, and Tatu Vanhanen, emeritus professor of political science in the University of Finland (also father of Finland''s current Prime Minister who has distanced himself from such ideas), took the two most dubious and controversial measures - IQ for intelligence and GDP for wealth of the nation - saw a rough correlation between the two, and claimed that the level of intelligence is responsible for how rich or poor the country is, and further, that intelligence is genetically determined.",m,0,1,0,0
